nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Camorim;17.0;2012;4;-884994167624083095420124;24.0;25.0;8.0;2.256853914829738;5.0;6.0;4.0;26.0;161.0;69.0;-8849941676240830954
Camorim;6.0;2012;5;-884994167624083095420125;1.0;23.0;5.0;2.256853914829738;17.0;5.0;6.0;25.0;24.0;74.0;-8849941676240830954
Camorim;2.0;2012;6;-884994167624083095420126;1.0;25.0;4.0;2.256853914829738;6.0;17.0;5.0;23.0;1.0;74.0;-8849941676240830954
Camorim;0.0;2012;7;-884994167624083095420127;0.0;22.0;9.0;2.256853914829738;2.0;6.0;17.0;25.0;1.0;74.0;-8849941676240830954
Camorim;0.0;2012;8;-884994167624083095420128;26.0;21.0;7.0;2.256853914829738;0.0;2.0;6.0;22.0;0.0;73.0;-8849941676240830954
Camorim;0.0;2012;9;-884994167624083095420129;95.0;23.0;6.0;2.256853914829738;0.0;0.0;2.0;21.0;26.0;68.0;-8849941676240830954
Camorim;0.0;2012;10;-8849941676240830954201210;60.0;25.0;4.0;2.256853914829738;0.0;0.0;0.0;23.0;95.0;65.0;-8849941676240830954
Camorim;0.0;2012;11;-8849941676240830954201211;94.0;24.0;6.0;2.256853914829738;0.0;0.0;0.0;25.0;60.0;64.0;-8849941676240830954
Camorim;2.0;2012;12;-8849941676240830954201212;80.0;29.0;5.0;2.256853914829738;0.0;0.0;0.0;24.0;94.0;73.0;-8849941676240830954
Campinho;10.0;2012;1;894766381465710225720121;216.0;26.0;311.0;104.70634840020313;74.0;35.0;11.0;25.0;242.0;70.0;8947663814657102257
